姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,履历
白春礼,男,满族,辽宁岫岩,1953年9月,中国科学院,中国科学院院士,"中国共产党第十九届中央委员会委员,中国科学院院长,党组书记,学部主席团执行主席,发展中国家科学院院长","1970.09—1974.09,内蒙古生产建设兵团二师十八团机运连司机、文书；
1974.09—1978.01,北京大学化学系催化专业学习；
1978.01—1978.10,中国科学院长春应用化学研究所研究实习员；
1978.10—1981.12,中国科学院化学研究所结构化学专业硕士研究生、研究实习员；
1981.12—1985.09,中国科学院化学研究所结构化学专业博士研究生、助理研究员；
1985.09—1987.11,美国加州理工学院博士后和访问学者,在喷气推进实验室从事真空扫描隧道显微境（STM）研究；
1987.11—1992.07,中国科学院化学研究所助理研究员、副研究员、研究员、STM实验室主任（1991.10—1992.04日本东北大学金属材料研究所客座教授）；
1992.07—1996.03,中国科学院化学研究所副所长,党委委员；
1996.03—2004.12,中国科学院副院长,党组成员（1995.06—2003.12兼第三、四届欧美同学会副会长,1995.07—2000.07 兼全国青联副主席,1996.05—2006.10兼中国青年科技工作者协会会长,第25、26届中国化学会理事长,1997年当选为中国科学院院士、第三世界科学院院士,1999国务院学位委员会委员,2001.01兼中国科学院研究生院院长,1997.03—1997.05在中央党校进修一班学习,2001.06和2006.05分别当选第六届、第七届中国科学技术协会副主席,2002.03—2002.05中央党校进修一班学习）；
2004.12—2011.02,中国科学院常务副院长、党组副书记（正部长级）,第五届化学学部主任（2005亚太材料学会副主席,2006美国科学院外籍院士,2007英国皇家化学会荣誉会士）；
2011.02—2013.01,中国科学院院长、党组书记,学部主席团执行主席（2011.05被授予中国科协荣誉委员,2012.03被推选为丹麦皇家文理科学院外籍院士,2012兼中国科学院大学校长。2012.09当选新一届发展中国家科学院院长）；[3—4] 
2013.01—,中国科学院院长,党组书记,学部主席团执行主席,发展中国家科学院院长"
吉炳轩　,男,汉族,河南孟津,1951年11月,郑州大学,中文,"中国共产党第十九届中央委员会委员,十二届全国人大常委会副委员长","1975—1978,　郑州大学中文系学习
1978—1982,　河南省孟津县平乐高中教师、县委办公室干事
1982—1984,　河南省孟津县朝阳乡党委书记
1984—1985,　河南省偃师县委副书记、县长
1985—1987,　河南省偃师县委书记
1987—1987,　共青团河南省委副书记
1987—1990,　共青团河南省委书记
1990—1991,　河南省委副秘书长、政策研究室主任
1991—1993,　河南省新乡市委书记
1993—1995,　共青团中央书记处书记
1995—1998,　吉林省委常委、宣传部部长,省委党校副校长
1998—2001,　国家广播电影电视总局副局长、党组副书记
2001—2003,　中央宣传部副部长
2003—2008,　中央宣传部主持常务工作的副部长（正部长级）,中央精神文明建设指导委员会办公室主任（2005.11）
2008—2013,　黑龙江省委书记、省人大常委会主任
2013—,　十二届全国人大常委会副委员长,黑龙江省委书记(—2013,3)、省人大常委会主任（—2013,3）"
毕井泉,男,汉族,黑龙江省庆安县,1955年9月,"中央党校,北京大学",工商管理硕士,"中国共产党第十九届中央委员会委员,国家食品药品监督管理总局局长、党组书记","1972.01—1976.01, 黑龙江省庆安县民乐乡农村劳动
1976.01—1978.02, 黑龙江省庆安县民乐乡政府经营管理站电管站工作
1978.03—1982.02, 北京大学经济学系学习,获经济学学士学位
1982.02—1984.09, 国家物价局农产品价格司工作
1984.09—1987.08, 国家物价局农产品价格司综合处副处长
1987.08—1989.03, 国家物价局农产品价格司综合处处长
1989.03—1994.03, 国家物价局价格规划司副司长,综合司副司长
1994.03—1995.11, 国家计划委员会价格管理司副司长
1995.11—1996.10, 国家计划委员会收费管理司副司长（主持工作）
1996.10—1998.06, 国家计划委员会工农产品价格管理司司长
1998.06—2001.07, 国家发展计划委员会价格司司长（期间：2000.03—2001.01中央党校一年制中青年干部培训班学习）
2001.07—2003.04, 国家发展计划委员会经贸流通司司长
2003.04—2005.09, 国家发展和改革委员会经济贸易司司长
2005.09—2006.01, 国家发展和改革委员会秘书长
2006.01—2006.06, 国家发展和改革委员会副主任、党组成员兼秘书长
2006.06—2008.03, 国家发展和改革委员会副主任、党组成员
2008.03—2015.01, 国务院副秘书长、机关党组成员[1] 
2015.01—, 国家食品药品监督管理总局局长、党组书记"
曲青山,男,汉族,山东荣成,1957年5月,陕西师范大学,"历史学学士,教授","中国共产党第十九届中央委员会委员,中共中央党史研究室主任、中国中共党史学会副会长","1973.12—1975.07,青海省贵德县东沟乡上兰角村知青；
1975.07—1978.10,青海省土产杂品公司团委书记；
1978.10—1982.08,陕西师范大学历史系历史专业学习；
1982.08—1984.04,青海省机床铸造厂办公室干部；
1984.04—1984.09,青海省委干部理论教育讲师团讲师；
1984.09—1986.07,中央党校研究生部中共党史专业学习；
1986.07—1991.03,青海省委干部理论教育讲师团讲师；
1991.03—1994.12,青海省委干部理论教育讲师团副团长；
1994.12—1997.10,青海省委干部理论教育讲师团团长（1995.09—1997.07 在中央党校培训部二年制中青班学习）；
1997.10—1999.11,青海省社会科学院副院长；
1999.11—2000.04,青海省委宣传部常务副部长（正厅级）；
2000.04—2001.01,青海省委宣传部常务副部长（正厅级）、西宁市委副书记；
2001.01—2002.05,青海省委宣传部部长；
2002.05—2009.10,青海省委常委、宣传部部长；
2009.10—2014.01,中共中央党史研究室副主任。[2] 
2014.01—,中共中央党史研究室主任"
朱生岭,男,汉族,江苏省东台市,1957年11月,解放军陆军指挥学院,军事学硕士,"中国共产党第十九届中央委员会委员,武警部队政委","1994.05—2005.08, 起历任南京军区海防第6旅政委；浙江省舟山警备区副政委；第12集团军36师政委；第1集团军1师政委；
2005.08—2009.05,任第31集团军政治部主任；
2009.05—2009.09,任福建省军区政委；
2009.09—2013.03,任福建省委常委、省军区政委；
2013.03—2014.12,任上海警备区政委、上海市委常委（2013.6）；
2014.12—2016.02,任南京军区政治部主任；
2016.02—2016.12,任中国共产党中央军事委员会国防动员部政治委员；
2016.12—2017.9.6,任中国人民武装警察部队政治委员。
2017.9.6—,在解放军党代表大会上选举为出席党的十九大代表"
刘奇,男,汉族,山东沂水,1957年9月,西安交通大学,经济学博士,"中国共产党第十九届中央委员会委员,江西省委副书记,省人民政府省长、党组书记","1974.0—1977.03,浙江省武义县桃溪滩乡公社知青；
1977.03—1980.03,浙江大学化工系高分子化工专业学习；
1980.03—1992.01,浙江省衢州化学工业公司电化厂调度员、调度室副主任、烧碱车间副主任,电化厂副厂长、厂长、厂长兼党委书记；
1992.01—1996.01,浙江化工厂副厂长兼浙江善高化学有限公司总经理；
1996.01—1996.08,浙江省石油化学工业厅副厅长、党组成员；
1996.08—1997.04,浙江省石油化学工业厅副厅长、党组副书记（1994.09—1996.12,浙江省委党校领导干部研究生班政治经济学专业学习）；
1997.04—1997.09,浙江省计划与经济委员会副主任；
1997.09—1998.07,浙江省巨化集团公司总经理、副董事长、党委委员；
1998.07—1998.09,浙江省巨化集团公司总经理、副董事长、党委书记,衢州市委常委；
1998.09—2000.02,浙江省巨化集团公司董事长、党委书记、总经理,衢州市委常委；
2000.02—2000.02,浙江省巨化集团公司董事长、党委书记,衢州市委常委（其间：2002.03—2003.01,中央党校一.制中青.干部培训班学习）；
2003.02—2003.05,浙江省温州市委副书记、代市长；
2003.05—2006.03,浙江省温州市委副书记、市长；
2006.03—2008.01,浙江省发展和改革委员会主任、党组书记（2003.03—2006.11,西安交通大学应用经济学专业在职研究生学习,获经济学博士学位）；
2008.01—2008.04,浙江省人大常委会副主任；
2008.04—2011.01,浙江省人大常委会副主任、省总工会主席；
2011.01—2011.02,浙江省宁波市委副书记、代市长；
2011.02—2013.04,浙江省宁波市委副书记、市长；
2013.04—2016.02,浙江省委常委、宁波市委书记；
2016.02—2016.07,江西省委副书记、省委党校校长；
2016.07—2016.09,江西省委副书记、省委党校校长,省人民政府副省长、代理省长、党组书记；
2016.09—2016.11,江西省委副书记、省委党校校长,省人民政府省长、党组书记；
2016.11—,江西省委副书记,省人民政府省长、党组书记。"
刘雷,男,汉族,山东聊城,1957年1月,,,中国人民解放军陆军政委,"—1983.6,历任陆军第21军63师189团战士、文书、卫生班长、团司令部保密员、后勤处参谋、政治处干事、一机炮连指导员等职。此期间,被评为学习雷锋先进个人、荣立三等功3次。
1983.6—1986.6,任陆军第21军政治部干部处副营职干事、63师炮团加榴炮营教导员；
1986.6—1988,任兰州军区政治部干部部科技干部处副团职干事；
1988—1991.3,被授予中校军衔；
1991.3—1994,任科技干部处处长(期间入国防大学学习一)；
1994—1994.12,晋升为上校军衔；
1994.12—1998,任兰州军区政治部干部部副部长(期间入国防大学联合战役指挥专业学习三)；
1998—1999,晋升为大校军衔；
1999—2003.6,任新疆军区步兵11师政委；
2003.6—2004.7,任南疆军区政治部主任；
2004.7—2007.1,晋升为少将军衔；
2007.1—2013.7,任第21集团军政委；
2013.7—2013.11,任新疆军区政委 ；
2013.11—2014.7,任新疆维吾尔自治区党委常委,新疆军区政委[3]  ；
2014.7—2014.12,晋升为中将军衔；
2014.12—2015.12,任兰州军区政委
2015.12—2017.7,任中国人民解放军陆军政治委员；
2017.7—,晋升上将军衔。"
刘鹤,男,汉族,河北昌黎,1952年1月,中国人民大学,经济学、公共管理硕士,"中央政治局委员,中央财经领导小组办公室主任,国家发展和改革委员会副主任、党组副书记","1969—1970,　吉林省洮南县瓦房公社插队知青
1970—1973,　解放军三十八军一一二师高炮团五七营二连战士、副班长
1973—1979,　北京无线电厂工人,团委干事、书记
1979—1983,　中国人民大学二分校工业经济系工业经济管理专业学习
1983—1983,　中国人民大学工业经济系教师
1983—1986,　中国人民大学工业经济系工业经济专业硕士研究生
1986—1987,　国务院发展研究中心干部
1987—1988,　国家计委工业综合局干部
1988—1991,　国家计委产业政策司产业结构处副处长、处长
1991—1993,　国家计委长期规划和产业政策司产业结构处处长（其间：1992.01—1993.01美国西东大学工商学院访问学者）
1993—1994,　国家计委政策研究室副主任
1994—1998,　国家计委长期规划和产业政策司副司长（其间：1994.07—1995.06哈佛大学肯尼迪政府管理学院国际金融和贸易专业学习,获公共管理硕士学位）
1998—2001,　国家信息中心常务副主任（正局级）,中经网公司董事长
2001—2003,　国务院信息化工作办公室副主任、党组成员,国家信息化专家咨询委员会主任
2003—2011,　中央财经领导小组办公室副主任
2011—2013,　国务院发展研究中心党组书记、副主任,中央财经领导小组办公室副主任
2013—2014,　中央财经领导小组办公室主任,国家发展和改革委员会副主任、党组成员
2014—2017,　中央财经领导小组办公室主任,国家发展和改革委员会副主任、党组副书记
2017—,　中央政治局委员,中央财经领导小组办公室主任,国家发展和改革委员会副主任、党组副书记"
刘士余,男,汉族,江苏灌云,1961年11月,清华大学,管理科学与工程专业硕士、技术经济学博士,"中国证券监督管理委员会主席、党委书记,货币政策委员会委员","1987—1996,先后工作于上海市经济体制改革办公室、国家经济体制改革委员会、中国建设银行。
1996—1998,任中国人民银行银行司助理巡视员、副司长；
1998—2002,任中国人民银行银行监管二司副司长、司长；
2002—2004,任中国人民银行办公厅主任、党委办公室主任；
2004.07—2006.06,任中国人民银行党委委员、行长助理；
2006.06—2014.10,任中国人民银行党委委员、副行长；
2014.10—2014.12,任中国农业银行股份有限公司党委书记、执行董事候选人；[1] 
2014.12—2016.02,任中国农业银行党委书记、董事长；
2016.02—2016.3,任中国证券监督管理委员会主席、党委书记。
2016.3—,任中国证券监督管理委员会主席、党委书记、货币政策委员会委员"
刘万龙,男,汉族,山东省聊城市,,,,新疆军区司令员,"2008.02—2011,任新疆阿里军分区司令员；
2011—2013,任南疆军区副司令员；
2012.12—2013.08晋升为少将军衔；
2013.08—2014.03,任新疆生产建设兵团军事部部长；
2014.03—2016.05,任甘肃省军区司令员；
2016.05—2017.01,任甘肃省委常委、甘肃省军区司令员；
2017.01—,任新疆军区司令员。"
刘奇葆,男,汉族,安徽宿松,1953年1月,吉林大学,经济学硕士,中国共产党第十九届中央委员会委员,"1968—1972, 安徽省宿松县洲头公社金坝大队刘屋生产队指导员、金坝大队党支部委员,团支部书记；
1972—1974, 安徽师范大学历史系历史学专业学习；
1974—1977, 安徽省委宣传部理论研究室干部；
1977—1980, 安徽省委办公厅秘书处秘书；
1980—1982, 共青团安徽省委宣传部副部长；
1982—1983, 共青团安徽省委副书记、党组成员兼宣传部部长；
1983—1985, 共青团安徽省委书记、党组书记（其间：1984—1985,挂职任宿州市委副书记、市长）；
1985—1993, 共青团中央书记处书记、共青团中央直属机关党委书记（其间：1992.09—1992.12中央党校省部级干部进修班学习）；
1993—1994, 人民日报社副总编辑（1991—1993,吉林大学国民经济计划和管理专业在职研究生学习,获经济学硕士学位）；
1994—2000, 国务院副秘书长、机关党组成员；
2000—2006, 广西壮族自治区党委副书记、区党委党校校长；
2006—2007, 广西壮族自治区党委书记、区党委党校校长；
2007—2007, 广西壮族自治区党委书记、区人大常委会主任；
2007—2008, 四川省委书记；
2008—2012.11, 四川省委书记、省人大常委会主任；
2012.11—2013.01,中央政治局委员、中央书记处书记、中央宣传部部长,四川省人大常委会主任；
2013.01—2017.10,中央政治局委员、中央书记处书记、中央宣传部部长"
刘国中,男,汉族,黑龙江望奎,1962年7月,华东工程学院,工学硕士,"中国共产党第十九届中央委员会委员,吉林省委副书记,省长、省政府党组书记,吉林省总河长","1978.10—1982.08, 华东工程学院炮弹系触发引信设计与制造专业学生
1982.08—1985.09, 黑龙江省哈尔滨建成机械厂干部
1985.09—1988.09,哈尔滨工业大学金属材料及工艺系压力加工专业硕士研究生
1988.09—1990.06, 哈尔滨工业大学管理学院系统工程专业学习
1990.06—1993.01, 黑龙江省经委综合规划处干部
1993.01—1996.06, 黑龙江省政府办公厅一处干部
1996.06—1998.12, 黑龙江省政府办公厅一处副处长
1998.12—2000.06, 黑龙江省政府办公厅一处处长
2000.06—2003.06, 黑龙江省政府研究室副主任
2003.06—2004.10, 黑龙江省政府研究室主任
2004.10—2007.04, 黑龙江省鹤岗市委书记
2007.04—2011.09, 黑龙江省委常委、秘书长
2011.09—2013.10, 黑龙江省委常委、副省长
2013.10—2016.02, 中华全国总工会副主席、书记处书记、党组副书记,中央社会治安综合治理委员会委员（2014.06）,国务院扶贫开发领导小组成员（2015.11）
2016.02—2016.12, 四川省委副书记,中央社会治安综合治理委员会委员,国务院扶贫开发领导小组成员
2016.12—2017.01, 吉林省委副书记,副省长、代省长,中央社会治安综合治理委员会委员,国务院扶贫开发领导小组成员
2017.01—,　 吉林省委副书记、省长,中央社会治安综合治理委员会委员,国务院扶贫开发领导小组成员,吉林省总河长。中国共产党第十九届中央委员会委员,十二届全国人大代表,党的十九大代表。"
刘国治,男,汉族,辽宁锦县,1960年11月,清华大学,物理博士,军委科技委主任,"1986—2002,间曾在西北核技术研究所工作,曾任所长,后任中国核试验基地副司令、司令,时为正军少将。
2009.12—2010.12,  当选中国科学院院士。长期从事脉冲功率和高功率微波技术研究及系统研制,研制成功实用的GW高功率微波源和系统等多项科研成果。先后获得国家科技进步奖4项。
2010.12—2013,任解放军总装备部副部长,副大区职级。
2013—2014,晋升中将军衔
2014—2016,任总装备部科技委员会主任
2016—, 任军委科技委主任"
刘金国,男,汉族,河北昌黎,1955年4月,中央党校,经济管理专业,中央纪委副书记,"1976.12—1983.09,河北省昌黎县槐李庄公社党委副书记、书记
1983.09—1985.08,河北省委党校中青年干部培训班学习
1985.08—1986.01,河北省昌黎县刘台庄工委副书记、书记
1986.01—1986.07,河北省昌黎县委常委、组织部部长
1986.07—1987.04,河北省昌黎县委副书记
1987.04—1991.05,河北省秦皇岛市山海关区委副书记、区长
1991.05—1992.05,河北省秦皇岛市委秘书长
1992.05—1992.07,河北省秦皇岛市公安局局长
1992.07—1993.04,河北省秦皇岛市委常委、公安局局长
1993.04—1994.11,河北省秦皇岛市副市长、公安局局长
1994.11—1995.07,河北省秦皇岛市委常委、副市长、公安局局长（1994.09—1995.07中央党校一年制中青年干部培训班学习）
1995.07—2001.11,河北省公安厅党委委员、副厅长（其间：1996.08—1998.12中央党校领导干部函授本科班经济管理专业学习）
2001.11—2001.12,河北省公安厅党委副书记、副厅长（正厅级）
2001.12—2002.12,河北省委政法委书记
2002.12—2005.03,河北省委常委、政法委书记
2005.03—2009.08,公安部党委委员、副部长
2009.08—2014.01,公安部党委委员、副部长、纪委书记、督察长
2014.01—2014.02,中央防范和处理邪教问题领导小组副组长、办公室主任,公安部党委副书记、副部长、纪委书记、督察长[1] 
2014.02—2014.10,中央防范和处理邪教问题领导小组副组长、办公室主任,国务院防范和处理邪教问题办公室主任,公安部党委副书记、副部长、纪委书记、督察长（2014.07任中央政法委委员）
2014.10—2014.12,中央纪委副书记,中央政法委委员,中央防范和处理邪教问题领导小组副组长、办公室主任,国务院防范和处理邪教问题办公室主任,公安部党委副书记、副部长、纪委书记、督察长
2014.12—2015.01,中央纪委副书记,中央政法委委员,国务院防范和处理邪教问题办公室主任,公安部党委副书记、副部长、纪委书记、督察长[4] 
2015.01—2015.03,中央纪委副书记,公安部党委副书记、副部长、纪委书记、督察长
2015.03—, 中央纪委副书记"
刘结一,男,汉族,北京市人,1957年12月,北京外国语学院,研究生,中共中央台办、国务院台办副主任,"1977.01—1978.01,　北京市朝阳区教师进修学院教师
1978.01—1981.06,　北京外国语学院（现北京外国语大学）学生、教师
1981.06—1987.03,　联合国日内瓦办事处译员
1987.03—1994.05,　外交部国际司三秘、副处长、处长
1994.05—1995.08,　外交部国际司参赞
1995.08—1998.08,　中国常驻联合国代表团参赞
1998.08—2001.07,　外交部国际司副司长
2001.07—2005.03,　外交部军控司司长
2005.03—2006.01,　外交部国际司司长
2006.01—2007.12,　外交部美大司司长
2007.12—2009.05,　外交部部长助理
2009.05—2013.08,　中共中央对外联络部副部长、中国红十字会副会长
2013.08—2017,　 中国常驻联合国代表、特命全权大使[1] 
2017—,　中共中央台办、国务院台办副主任（正部长级"
刘振立,男,汉族,河北栾城,1964年8月,国防大学,军事学硕士,中国人民解放军陆军参谋长,"—2009.12,历任学员,排长,副连长,连长,副营职参谋,营长,副处长,处长,旅参谋长,军炮兵指挥部主任,北京军区某机械化步兵师师长。
2009.12—2012.01,中国人民解放军北京军区第65集团军参谋长。
2012.02—2014.02,中国人民解放军北京军区第65集团军军长。
2014.02—2015.07,中国人民解放军北京军区38集团军军长。
2015.07—2015.12,中国人民武装警察部队参谋长。
2015.12—,中国人民解放军陆军参谋长。"
刘家义,男,汉族,重庆,1956年8月,西南财经大学,经济学博士,山东省委书记、省人大常委会主任,"1975.11—1978.04,四川省开县郭家乡麒麟大队会计、团支部书记；
1978.04—1980.02,四川省财政学校财政专业学生；
1980.02—1983.07,四川省财政厅监察处办事员（其间：1982.08—1983.07,江西财经学院全国中等财政学校会计师资训练班进修）；
1983.07—1984.12,四川省审计局二处干部；
1984.12—1988.12,四川省审计局二处副处长、综合处副处长（其间：1986.09—1987.07,中央党校党政干部中青年干部培训班学习；1988.01—1988.12,借调四川省委研究室工作）；
1988.12—1989.02,审计署驻成都特派办干部；
1989.02—1989.12,审计署驻成都特派办审计一处处长；
1989.12—1992.08,审计署驻成都特派办副特派员（副局级；1990.08高级审计师）；
1992.08—1993.08,审计署商贸审计司副司长；
1993.08—1996.09,审计署商贸审计司司长（其间：1995.09—1996.07,中央党校一年制中青年干部培训班学习）；
1996.09—2007.07,审计署副审计长、党组成员（其间：1995.09—2000.03,西南财经大学财政系财政学专业学习,获经济学博士学位）；
2007.07—2008.03,审计署党组书记、副审计长；
2008.03—2017.03,审计署审计长、党组书记；
2017.03—2017.04,山东省委书记；
2017.04—,山东省委书记、省人大常委会主任"
刘赐贵,男,汉族,福建泉州,1955年9月,中央党校,中央党校研究生,"海南省委书记,省人大常委会主任、党组书记","1973.02—1976.10,福建省邵武县洪墩公社外石大队知青、大队党支部书记
1976.10—1983.08,福建省邵武县洪墩公社干事、团委书记、党委副书记、党委书记、革委会主任（其间：1981.08—1983.08,福建省委党校干部培训班学习）
1983.08—1983.11,福建省邵武县委政法委书记
1983.11—1986.02,福建省邵武市委副书记
1986.02—1988.12,福建省光泽县委副书记
1988.12—1993.03,福建省光泽县委书记,县人民武装部党委第一书记
1993.03—1997.03,共青团福建省委副书记,省青年联合会主席（其间：1994.08—1996.12,中央党校函授学院本科班经济管理专业学习）
1997.03—1998.08,福建省莆田市委常委、常务副市长,兼福建省预备役炮兵师第三团第一政委、党委书记
1998.08—1999.12,福建省莆田市委副书记、常务副市长,兼福建省预备役炮兵师第三团第一政委、党委书记
1999.12—2000.03,福建省莆田市委副书记
2000.03—2002.05,福建省海洋与渔业局局长（其间：2001.09—2002.01,中央党校进修班学习）
2002.05—2005.06,福建省龙岩市委副书记、代市长、市长,市武装动员委员会主任（其间：2003.03—2005.01,中央党校在职研究生班科学社会主义专业学习）（2000.10—2002.10,厦门大学海洋系海洋生物学专业研究生课程班学习）
2005.06—2007.02,福建省龙岩市委书记,龙岩军分区委员会第一书记,市武装动员委员会第一主任
2007.02—2007.04,福建省厦门市委副书记、代市长,市武装动员委员会主任
2007.04—2011.01,福建省厦门市委副书记、市长,市武装动员委员会主任
2011.01—2014.12,国土资源部党组成员,国家海洋局局长、党组书记,中国海警局政委（2013.03）,中央维护海洋权益工作领导小组成员（2012.09）,国家应对气候变化及节能减排工作领导小组成员（2013.07）
2014.12—2015.01,海南省委副书记,省政府党组书记
2015.01—2015.02,海南省委副书记,省政府代省长、党组书记
2015.02—2017.03,海南省委副书记,省政府省长、党组书记
2017.03—2017.04,海南省委书记,省政府省长、党组书记
2017.04—2017.05,海南省委书记,省人大常委会党组书记
2017.05—,海南省委书记,省人大常委会主任、党组书记"
刘粤军　,男,汉族,山东省荣成市,1954年9月,中共中央党校,经济管理专业,中国人民解放军东部战区司令员,"1970.01—1973.12,参加中国人民解放军,陆军战士；
1973.12—1974.09,陆军排长；
1974.09—1979.07,陆军连长；
1979.07—1980.06,陆军团司令部作训股股长；
1980.06—1981.05,陆军营长；
1981.05—1987.07,陆军团参谋长；
1987.07—1989.06,陆军团长；
1989.06—1992.12,陆军师参谋长；
1992.12—1993.04,陆军副师长；
1993.04—1994.04,驻香港部队深圳基地主任（副师职）；
1994.04—1998.10,中国人民解放军广州军区第四十一集团军第123摩托化步兵师师长；
1998.10—1999.04,中国人民解放军广州军区第四十一集团军集团军参谋长（其间：1997.08—1999.12在中央党校经济管理专业函授学习）；
1999.04—2002.02,中国人民解放军驻澳门部队司令员（副军职,其间：2001.09—2002.02在国防大学基本系学习）；
2002.02—2007.06,中国人民解放军广州军区第四十二集团军军长；
2007.06—2012.10,中国人民解放军兰州军区参谋长；
2012.10—2016.02,中国人民解放军兰州军区司令员；
2016.02—, 中国人民解放军东部战区司令员"
齐扎拉,男,藏族,云南香格里拉,1958年8月,中央党校,中央党校研究生,西藏自治区党委副书记、区政府主席、党组书记,"1979.12—1983.04,云南省中甸县尼西公社团委书记、青年干事
1983.04—1984.08,共青团云南省中甸县委副书记
1984.08—1986.08,云南省委党校大专培训班学习
1986.08—1988.06,云南省中甸县委党校校长
1988.06—1990.06,云南省中甸县委常委、宣传部部长、党校校长
1990.06—1994.08,云南省中甸县委副书记、政法委书记
1994.08—1997.08,云南省中甸县委书记、政法委书记（其间：1995.09—1995.12,云南省委党校“三基本”培训班学习）
1997.08—2000.02,云南省迪庆州委常委、中甸县委书记（1995.08—1997.12,中央党校函授学院政法专业本科班学习；1996.09—1998.07,云南民族学院经济管理系民族文化与民族经济专业在职研究生学习）
2000.02—2001.03,云南省迪庆州委副书记、中甸县委书记
2001.03—2001.06,云南省迪庆州委副书记、副州长、代州长、中甸县委书记
2001.06—2007.02,云南省迪庆州委副书记、州长（其间：2003.08—2003.12,挂职任财政部国库司副司长）
2007.02—2007.05,云南省迪庆州委书记、州长,迪庆军分区党委第一书记
2007.05—2010.05,云南省迪庆州委书记,迪庆军分区党委第一书记（2006.03—2008.01,中央党校导师制在职研究生班经济管理专业学习）
2010.05—2010.09,云南省委常委、迪庆州委书记,迪庆军分区党委第一书记
2010.09—2011.01,西藏自治区党委常委、统战部部长,区政协党组副书记
2011.01—2011.11,西藏自治区党委常委、统战部部长,区政协党组副书记、副主席
2011.11—2012.01,西藏自治区党委常委、拉萨市委书记,区政协副主席,拉萨警备区党委第一书记
2012.01—2016.11,西藏自治区党委常委、拉萨市委书记,拉萨警备区党委第一书记
2016.11—2016.12,西藏自治区党委副书记、拉萨市委书记,拉萨警备区党委第一书记
2016.12—2017.01,西藏自治区党委副书记、区政府党组书记,拉萨市委书记,拉萨警备区党委第一书记[1] 
2017.01—,西藏自治区党委副书记、区政府主席、党组书记"
安兆庆,男,锡伯族,辽宁沈阳,1957年5月,,,中央军委装备发展部政治委员,"—2009, 曾任沈空辖属空17师独立大队政委、空1师政委、空军第一飞行学院政委。
2009—2013,沈阳军区空军政治部副主任。
2013—2014,南京军区空军政治部主任。
2014—2016.2,广州军区副政委兼广州军区空军政委。[3—4] 
2016.2—2016.12,中国人民解放军南部战区空军政委。[5] 
2016.12—, 中央军委装备发展部政委"
许勤,男,汉族,江苏连云港人,1961年10月,香港理工大学,管理学博士,"河北省委副书记,省政府省长、党组书记,北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记","1978.10—1982.07,北京工业学院光学工程系光学系统设计与检验专业学习
1982.07—1984.09,兵器工业部第五五九厂科研所干部
1984.09—1987.07,北京理工大学光电工程系光学仪器专业硕士研究生
1987.07—1988.06,国家计委机关党委干部
1988.06—1992.07,国家计委工业二司、机电司电子处主任科员
1992.07—1997.08,国家计委机电司电子处副处长（其间: 1994.10—1995.10,参加加拿大、美国高级管理培训）
1997.08—1998.07,国家计委机电司电子处处长
1998.07—2001.02,国家计委高技术产业发展司信息产业处处长
2001.02—2003.05,国家计委高技术产业发展司副司长（1999.09—2001.07,北京大学光华管理学院EMBA学习）
2003.05—2005.07,国家发展改革委高技术产业司副司长（2003.10起主持工作）（2001.11—2004.11,香港理工大学工商管理专业学习,获管理学博士学位）
2005.07—2008.04,国家发展改革委高技术产业司司长
2008.04—2010.05,广东省深圳市委常委,市政府副市长、党组副书记（挂职）,国家发展改革委高技术产业司司长
2010.05—2010.06,广东省深圳市委副书记,市政府副市长、党组副书记
2010.06—2016.12,广东省深圳市委副书记,市政府市长、党组书记
2016.12—2017.03,广东省委常委、深圳市委书记,市政府市长、党组书记
2017.03—2017.04,河北省委副书记,北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记[1] 
2017.04—,河北省委副书记,省政府代省长、省长、党组书记,北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记"
许又声,男,汉族,福建闽清,1957年8月,厦门大学,文学学士,国务院侨务办公室党组书记、副主任,"1975.07—1977.11,福建省福州市闽侯县荆溪公社下乡知青
1977.11—1978.10,福建省福州市橡胶厂工人
1978.10—1982.08,厦门大学中文系汉语言文学专业学习,获文学学士学位
1982.08—1987.07,国务院侨办秘书局干部
1987.07—1987.12,国务院侨办秘书局调研室副主任（副处级）
1987.12—1988.10,国务院侨办政策研究室副处级调研员
1988.10—1992.07,国务院侨办政策研究室正处级调研员
1992.07—1997.09,国务院侨办政研司副司长（其间：1995.06—1997.06,挂职任广东省江门市人民政府副市长）
1997.09—1999.12,国务院侨办经济科技司司长
1999.12—2000.01,国务院侨办党组成员兼经济科技司司长
2000.01—2001.03,国务院侨办党组成员兼国外司司长
2001.03—2012.05,国务院侨办副主任、党组成员
2012.05—2012.06,湖南省委常委
2012.06—2015.08,湖南省委常委、宣传部部长
2015.08—2016.11,湖南省委常委、秘书长、省直属机关工作委员会书记
2016.11—2017.01,湖南省人大常委会党组副书记 
2017.01—2017.04,湖南省人大常委会副主任、党组副书记
2017.04—,国务院侨务办公室党组书记、副主任"
