姓名,性别,民族,出生地,出生日期,毕业院校,专业背景,担任职务,履历
王宁,男,汉族,山东荣成,1955年8月,,军人,武警部队司令员、中央政法委委员,"—2003.12,曾任第12集团军高炮团团长、高炮旅旅长；31军防空旅旅长、91师师长；
2003.12—2006.11,任上海警备区参谋长；
2006.11—2007.11,任江西省军区司令员；
2007.11—2010.12,任第31集团军军长；
2010.12—2013.07,任北京军区参谋长；
2013.07—2014.12,任解放军副总参谋长（正大军区级将领）。 
2014.12—2015.01,任武警部队司令员。
2015.01—,任武警部队司令员、中央政法委委员"
王军,男,汉族,河南商丘,1958年11月,北京大学,法学博士,国家税务总局党组书记、局长,"1987—1992,分别任财政部会计司一处副处长、处长；
1992—1993,财政部办公厅部长秘书室处长级秘书；
1993—1994,中国注册会计师协会副秘书长；
1994—1998,财政部办公厅副主任（1996.以后主持工作）；
1998.07—2003.09,财政部办公厅主任、新闻发言人；
2003.09—2005.10,财政部部长助理、党组成员；
2005.10—2012.04,财政部副部长、党组成员；
2012.04—2013.03,财政部副部长、党组副书记；
2013.03—,国家税务总局党组书记、局长。"
王勇,男,汉族,辽宁盖州,1955年12月,哈尔滨工业大学,工学硕士,中国共产党第十九届中央委员会委员、国务委员、国务院党组,"1969—1977,黑龙江生产建设兵团一师三团三十一连机务排长
1977—1979,七机部二三0厂总装车间调试员
1979—1982,北京广播电视大学电子专业学习
1982—1983,航天部二三0厂技术科主管技术员
1983—1984,航天部二三0厂总装车间副指导员兼党支部书记
1984—1989,航天部二三0厂政治部副主任、厂长助理兼副总经济师（其间：1987.09—1988.01,哈尔滨工业大学管理学院总工程师研修班学习）
1989—1992,哈尔滨工业大学技术经济工程专业硕士研究生
1992—1993,借调航空航天部体改司工作
1993—1994,航天总公司二三0厂副厂长
1994—1995,航天总公司二三0厂常务副厂长
1995—1997,航天总公司二三0厂厂长、党委副书记（正局级）
1997—1997,航天总公司政治部副主任
1997—1998,航天总公司政治部副主任兼京区党委副书记
1998—1999,航天总公司人事劳动教育局负责人（主持工作）
1999—2000,中国航天机电（科工）集团公司副总经理、党组成员
2000—2001,中央组织部企业干部办公室主任
2001—2003,中央组织部干部五局局长
2003—2005,国务院国有资产监督管理委员会副主任、党委委员
2005—2008,国务院国有资产监督管理委员会副主任、党委副书记
2008—2008,国务院副秘书长、机关党组成员
2008—2010,国家质量监督检验检疫总局局长、党组书记
2010—2013,国务院国有资产监督管理委员会主任、党委书记[1] 
2013—,国务委员、国务院党组成员"
王晨,男,汉族,北京市,1950年12月,中国社会科学院,文学硕士,"中央政治局委员,十二届全国人大常委会副委员长兼秘书长、党组成员、机关党组书记","1969—1970,　陕西省延安地区宜君县下乡知青
1970—1973,陕西省延安地区宜君县委宣传部、县委办公室干部
1973—1974,陕西省延安地委办公室干部
1974—1979,光明日报社国内部记者
1979—1982,中国社会科学院研究生院新闻系新闻业务专业硕士研究生
1982—1984,光明日报社政治经济部记者,群工部副主任
1984—1984,光明日报社群工部主任
1984—1986,光明日报社总编室主任
1986—1995,光明日报社副总编辑（其间：1991.09—1991.11中央党校省部级干部进修班学习）
1995—2000,光明日报社总编辑
2000—2001,中央宣传部副部长
2001—2001,人民日报社总编辑
2001—2002,人民日报社总编辑,中华全国新闻工作者协会副主席
2002—2003,人民日报社社长、总编辑,中华全国新闻工作者协会副主席
2003—2006,人民日报社社长,中华全国新闻工作者协会副主席（其间：2006.03—2006.05中央党校省部级干部进修班学习）
2006—2008,人民日报社社长
2008—2013,中央宣传部副部长,中央对外宣传办公室主任,国务院新闻办公室主任,国家互联网信息办公室主任
2013—2017,十二届全国人大常委会副委员长兼秘书长、党组成员、机关党组书记
2017—,　中央政治局委员,十二届全国人大常委会副委员长兼秘书长、党组成员、机关党组书记[1—2] "
王毅,男,汉族,北京人,1953年10月,北京第二外国语学院,"经济学硕士,国际关系学博士","中国共产党第十九届中央委员会委员,中央外事工作领导小组成员,中华人民共和国外交部部长、党委副书记","1969 – 1977, 黑龙江生产建设兵团知青
1977–1978,邮电部情报研究所工人
1978–1982,北京第二外国语学院亚非语系学生
1982–1989,外交部亚洲司科员、随员、副处长、处长
1989–1994,驻日本国大使馆参赞、公使衔参赞
1994–1995,外交部亚洲司副司长
1995–1998,外交部亚洲司司长（其间：1997.08 –1998.02赴美国乔治敦大学外交研究所访问学者)
1998–2001,外交部部长助理兼政策研究室主任（其间：1998.04南开大学在职研究生班世界经济专业经济学硕士毕业,1999.09外交学院国际关系专业博士学位毕业）
2001–2004,外交部副部长、党委委员
2004–2007,驻日本国特命全权大使
2007–2008,外交部常务副部长,党委书记
2008–2013,中共中央台湾工作办公室、国务院台湾事务办公室主任,中央外事工作领导小组成员（兼）[2] 
2013–,中华人民共和国外交部部长、党委副书记,中央外事工作领导小组成员（兼）[3] "
王小洪,男,汉族,福建福州,1957年7月,中央党校,经济管理,"中国共产党第十九届中央委员会委员,公安部副部长、党委委员,北京市副市长、市公安局党委书记、局长","1974.07—1979.12,福建省闽侯县知青、风机厂工人
1979.12—1984.05,福建省闽侯县公安局干部、团支部书记
1984.05—1989.01,福建省闽侯县公安局副局长
1989.01—1993.08,福建省闽侯县公安局局长,福建省福州市公安局郊区分局局长、党委书记
1993.08—1995.11,福建省福州市公安局副局长,党委委员
1995.11—1998.02,福建省福州市公安局副局长、党委副书记
1998.02—2002.05,福建省福州市公安局局长、党委书记、市委政法委副书记,福建省漳州市公安局局长、党委书记、市委政法委副书记、市委委员(副厅级)
2002.05—2011.09,福建省公安厅副厅长、党委委员,福建省公安边防总队第一政委、党委第一书记
2011.09—2013.08,福建省厦门市人民政府副市长、党组成员,厦门市公安局局长、党委书记、市委政法委副书记,市委委员（2011.9.23国务院授予一级警监警衔）
2013.08—2013.12,河南省人民政府省长助理、党组成员,省公安厅厅长、党委书记
2013.12—2014.12,河南省人民政府省长助理、党组成员,省公安厅厅长、党委书记、督察长,武警河南总队第一政委、党委第一书记
2014.12—2015.03,河南省人民政府副省长、党组成员,[3]  省公安厅厅长、党委书记、督察长,省委政法委副书记,武警河南总队第一政委、党委第一书记（2014.12.04国务院授予副总警监警衔）
2015.03—2016.05,北京市人民政府副市长、党组成员,市公安局局长、党委书记、督察长,市委政法委副书记 
2016.05—,公安部副部长、党委委员,北京市副市长、党组成员,北京市公安局局长、党委书记、督察长兼市委政法委副书记
"
王玉普,男,汉族,辽宁新民,1956年10月,中国石油大学,工学博士,"中国共产党第十九届中央委员会委员,国家安全生产监督管理总局党组书记、局长","1978.03—1982.01,在大庆石油学院矿机专业学习；
1982.01—1994.05,大庆石油管理局采油七厂工程大队技术员、副大队长、大队长；
1994.05—1997.01,大庆石油管理局采油七厂副厂长、四厂副厂长（其间：1994.09—1996.12,中国石油大学（北京）石油工程系油气田开发工程专业在职研究生学习,获工学硕士学位）；
1997.01—1997.11,大庆石油管理局第一油气开发事业部副主任兼总工程师；
1997.11—1998.11,大庆石油管理局油田开发处处长；
1998.11—1999.09,大庆石油管理局副总工程师；
1999.09—2000.10,大庆油田有限责任公司董事、副总工程师；
2000.10—2003.12,大庆油田有限责任公司董事、常务副总经理、党委委员（其间：2000.09—2003.07,中国石油大学（北京）石油天然气工程学院油气田开发工程专业在职研究生学习,获工学博士学位）；
2003.12—2008.03,大庆油田有限责任公司董事长、总经理、党委副书记（其间：2007.03—2008.01,在中央党校一.制中青.干部培训班学习；2007.12当选为中国工程院院士）；
2008.03—2009.08,大庆油田有限责任公司（大庆石油管理局）董事长兼总经理（局长）、党委副书记；
2009.08—2010.07,黑龙江省副省长；
2010.07—2013.02,全国总工会党组书记、副主席、书记处第一书记,中央精神文明建设指导委员会委员（2010.12）,中央社会管理综合治理委员会委员（2011.03）,国务院振兴东北地区等老工业基地领导小组成员（2011.07）；
2013.02—2014.06,中国工程院副院长候选人、党组副书记（正部长级）,中央精神文明建设指导委员会委员（2013.10免）,中央社会管理综合治理委员会委员,国务院振兴东北地区等老工业基地领导小组成员（2013.06免）；
2010.06—2015.04,中国工程院副院长、党组副书记（正部长级）；
2015.04—2017.09,中国石油化工集团公司董事长、党组书记兼中国石油化工股份有限公司董事长（2015.05）；
2017.09—,国家安全生产监督管理总局党组书记、局长。"
王正伟,男,回族,宁夏同心,1957年6月,中央民族大学,法学博士,"中国共产党第十九届中央委员会委员,十二届全国政协副主席","1976—1978,宁夏回族自治区同心县王团乡干事；
1978—1982,宁夏大学中文系中文专业学习；
1982—1983,宁夏回族自治区同心县委宣传部秘书；
1983—1986,宁夏回族自治区党委办公厅秘书；
1986—1989,宁夏回族自治区党委办公厅副处级秘书；
1989—1993,宁夏回族自治区党委政策研究室办公室副主任（正处级）；
1993—1997,宁夏回族自治区党委政策研究室副主任（其间：1994.09—1995.01,中央党校进修部学习）；
1997—1998,宁夏回族自治区党委宣传部常务副部长；
1998—1998,宁夏回族自治区党委宣传部部长；
1998—2001,宁夏回族自治区党委常委、宣传部部长；
2001—2003,宁夏回族自治区党委常委、银川市委书记（2000—2003,中央民族大学少数民族经济研究所民族经济学专业学习,获法学博士学位）；
2003—2004,宁夏回族自治区党委常委；
2004—2007,宁夏回族自治区党委常委、区政府副主席；
2007—2007,宁夏回族自治区党委副书记、区政府副主席；
2007—2008,宁夏回族自治区党委副书记、区政府代主席；
2008—2013,宁夏回族自治区党委副书记、区政府主席；
2013—2015,十二届全国政协副主席,国家民族事务委员会主任、党组书记；
2015—2016,十二届全国政协副主席,中央统战部副部长,国家民族事务委员会主任、党组书记；
2016—,十二届全国政协副主席。"
王东明,男,汉族,辽宁宽甸,1956年7月,中央党校、辽宁大学,哲学学士,"中国共产党第十九届中央委员会委员,四川省委书记、省人大常委会主任","1975.08—1978.03,辽宁省桓仁县华尖子公社知青、东卜大队党支部书记
1978.03—1982.02,辽宁大学哲学系哲学专业学习
1982.02—1982.06,辽宁省委党校青训班学习
1982.06—1983.06,辽宁省锦州市太和区西郊公社党委副书记
1983.06—1985.03,共青团辽宁省锦州市委书记
1985.03—1988.03,辽宁省绥中县委副书记（正县级）
1988.03—1991.01,辽宁省绥中县委书记
1991.01—1993.02,辽宁省灯塔县委书记
1993.02—1993.05,辽宁省辽阳市副市长
1993.05—1994.04,辽宁省辽阳市委常委、副市长
1994.04—1996.12,辽宁省委组织部副部长（1996.01主持常务工作）
1996.12—1997.11,辽宁省委组织部部长（1996.09—1997.07,中央党校一年制中青年干部培训班学习）
1997.11—2000.10,辽宁省委常委、组织部部长（1996.09—1999.07,中央党校研究生院在职研究生班法学专业学习）
2000.10—2002.08,中央组织部部务委员兼干部二局局长
2002.08—2003.04,中央组织部副部长
2003.04—2007.07,中央组织部副部长,中央保健委员会副主任,国家国防动员委员会委员（2003.05）,中央保密委员会委员（2007.06）
2007.07—2012.11,中央机构编制委员会委员、办公室主任,中央社会治安综合治理委员会（2011.08更名为中央社会管理综合治理委员会）委员,中央保健委员会副主任（2008.01免）,国家国防动员委员会委员（2008.05免）,中央保密委员会委员（2007.10免）,中央农村工作领导小组成员（2007.12）,国家信息化领导小组成员（2007.12）
2012.11—2013.01,四川省委书记
2013.01—,四川省委书记、省人大常委会主任"
王东峰,男,汉族,陕西西安,1958年2月,西安交通大学,经济学硕士,河北省委书记,"1981.07—1982.09,陕西省西安市旅游供应公司干部；
1982.09—1984.07,陕西省财贸管理干部学院贸易经济系企业管理专业学习；
1984.07—1987.07,陕西省西安市政府财贸办综合业务处、市委财贸部政策检查处干部、副主任科员；
1987.07—1989.08,陕西省西安市委办公厅秘书处秘书（副处级）；
1989.08—1991.07,陕西省西安市工商行政管理局政研室主任、政策法规处处长；
1991.07—1996.05,陕西省西安市工商行政管理局副局长、党组成员；
1996.05—1998.02,陕西省西安市工商行政管理局党委副书记、局长（1994.09—1996.12,在中央党校函授学院经济管理专业本科学习）；
1998.02—2001.01,陕西省工商行政管理局局长、党组书记（其间：2000.03—2001.01,在中央党校一年制中青年干部培训班学习）；
2001.01—2003.01,陕西省渭南市委副书记、市长、市政府党组书记（1999.09—2001.07,在西安交通大学应用经济学专业学习,获经济学硕士学位；2000.03—2003.01,在中央党校在职研究生班哲学专业学习）；
2003.01—2004.07,陕西省铜川市委书记；
2004.07—2013.04,国家工商行政管理总局副局长、党组成员（2003.03—2005.01,在中央党校在职研究生班法学理论专业学习；2007.05—2007.07,在国防大学第30期国防战略研究班学习；2010.05—2010.07,在中央党校第47期省部级干部进修班学习）；
2013.04—2016.09,天津市委副书记；
2016.09—2016.11,天津市委副书记、代市长、市政府党组书记； 
2016.11—2017.10,天津市委副书记、市长、市政府党组书记；
2017.10—,河北省委书记"
